"","week","weeks_since","age_group","adj_inc","healthy_inc","immunocompromised_inc","higher_risk_inc"
"1",2024-04-27,43,"75+ years",8.096,4.11401353846154,11.4278153846154,8.27737905840708
"2",2024-04-20,42,"75+ years",7.728,3.92701292307692,10.9083692307692,7.90113455575221
"3",2024-04-13,41,"75+ years",10.212,5.18926707692307,14.4146307692308,10.4407849486726
"4",2024-04-06,40,"75+ years",12.972,6.59177169230769,18.3104769230769,13.2626187185841
"5",2023-08-26,8,"75+ years",23.975,10.6359423076923,33.8416346153846,24.7612951327434
"6",2023-08-19,7,"75+ years",20.9125,9.27733653846154,29.5187980769231,21.5983559734513
"7",2023-08-12,6,"75+ years",16.8875,7.49174038461539,23.8373557692308,17.4413502212389
"8",2023-08-05,5,"75+ years",15.225,6.75421153846154,21.4906730769231,15.7243261061947
"9",2024-08-31,61,"75+ years",27.7508,0.447672246153846,39.1713215384615,30.571656540885
"10",2024-08-24,60,"75+ years",27.931,0.450579208791209,39.4256807692308,30.7701737911504
"11",2024-08-17,59,"75+ years",30.634,0.494183648351649,43.2410692307692,33.7479325451327
"12",2024-08-10,58,"75+ years",29.2825,0.472381428571429,41.333375,32.2590531681416
"13",2024-08-03,57,"75+ years",28.9221,0.466567503296704,40.8246565384615,31.8620186676106
"14",2023-12-30,26,"75+ years",50.1704,30.3503353846154,70.8174492307692,50.5122690973451
"15",2023-12-23,25,"75+ years",42.4452,25.6770138461538,59.9130323076923,42.7344283539823
"16",2023-12-16,24,"75+ years",36.1088,21.84384,50.96896,36.3548511150442
"17",2023-12-09,23,"75+ years",36.1088,21.84384,50.96896,36.3548511150442
"18",2023-12-02,22,"75+ years",37.8448,22.8940246153846,53.4193907692308,38.1026804955752
"19",2024-12-28,78,"75+ years",22.02804,7.1959070887912,31.0934256923077,23.1654276299469
"20",2024-12-21,77,"75+ years",16.47834,5.38298476021978,23.2598106923077,17.3291764828673
"21",2024-12-14,76,"75+ years",15.45378,5.04829140725274,21.8136048461538,16.2517147326372
"22",2024-12-07,75,"75+ years",13.83156,4.51836026505494,19.5237789230769,14.5457336281062
"23",2024-02-24,34,"75+ years",22.0048,5.67965650989011,31.0606215384615,23.3839751815929
"24",2024-02-17,33,"75+ years",23.2183,5.99287286153847,32.7735234615385,24.6735326364602
"25",2024-02-10,32,"75+ years",24.0273,6.20168376263737,33.9154580769231,25.5332376063717
"26",2024-02-03,31,"75+ years",25.8071,6.66106774505495,36.4277142307692,27.424588540177
"27",2025-02-22,86,"75+ years",13.40466,4.37890470131868,18.9211931538462,14.096791232177
"28",2025-02-15,85,"75+ years",16.2222,5.29931142197802,22.8982592307692,17.0598110453097
"29",2025-02-08,84,"75+ years",15.45378,5.04829140725274,21.8136048461538,16.2517147326372
"30",2025-02-01,83,"75+ years",16.2222,5.29931142197802,22.8982592307692,17.0598110453097
"31",2024-01-27,30,"75+ years",30.0004,13.066987410989,42.3467184615385,31.0232808948672
"32",2024-01-20,29,"75+ years",34.0228,14.8189857230769,48.0244907692308,35.1828269366372
"33",2024-01-13,28,"75+ years",41.7324,18.1769824879121,58.9068876923077,43.1552901833628
"34",2024-01-06,27,"75+ years",45.5872,19.8559808703297,64.3480861538461,47.1415218067257
"35",2025-01-25,82,"75+ years",16.81986,5.49454921120879,23.7418793076923,17.6883303996106
"36",2025-01-18,81,"75+ years",19.72278,6.44284704461538,27.8394625384615,20.7411386919292
"37",2025-01-11,80,"75+ years",21.7719,7.11223375054945,30.7318742307692,22.8960621923894
"38",2025-01-04,79,"75+ years",26.8947,8.78570051538461,37.9629034615385,28.2833709435398
"39",2023-07-29,4,"75+ years",13.694,11.5977646153846,19.3296076923077,13.2536106548673
"40",2023-07-22,3,"75+ years",9.6025,8.13257884615384,13.5542980769231,9.29369039823009
"41",2023-07-15,2,"75+ years",9.352,7.92042461538461,13.2007076923077,9.05124630088495
"42",2023-07-08,1,"75+ years",8.0995,6.85965346153846,11.4327557692308,7.83902581415929
"43",2023-07-01,0,"75+ years",8.684,7.35468,12.2578,8.4047287079646
"44",2024-07-27,56,"75+ years",26.3092,7.00287299340657,37.1364476923077,27.9239795355752
"45",2024-07-20,55,"75+ years",22.0745,5.87569823076922,31.1590057692308,23.4293663911504
"46",2024-07-13,54,"75+ years",21.1735,5.6358738131868,29.8872096153846,22.4730657221239
"47",2024-07-06,53,"75+ years",20.0022,5.32410207032966,28.2338746153846,21.2298748523894
"48",2024-06-29,52,"75+ years",17.22,10.6949446153846,24.3066923076923,17.292598300885
"49",2024-06-22,51,"75+ years",14.028,8.71246707692308,19.8010615384615,14.0871410548673
"50",2024-06-15,50,"75+ years",12.348,7.66905784615385,17.4296769230769,12.4000582938053
"51",2024-06-08,49,"75+ years",10.164,6.31262584615385,14.3468769230769,10.2068507044248
"52",2024-06-01,48,"75+ years",9.996,6.20828492307693,14.1097384615385,10.0381424283186
"53",2024-03-30,39,"75+ years",9.9567,2.48961265714285,14.054265,10.5936820853097
"54",2024-03-23,38,"75+ years",11.4034,2.85135124835164,16.0963376923077,12.1329350378761
"55",2024-03-16,37,"75+ years",15.8286,3.95784576263735,22.3426776923077,16.8412381869027
"56",2024-03-09,36,"75+ years",18.9773,4.74515916703295,26.7871888461538,20.1913769660177
"57",2024-03-02,35,"75+ years",20.424,5.10689775824174,28.8292615384615,21.7306299185841
"58",2025-03-15,89,"75+ years",8.19648,2.67754682373626,11.5696467692308,8.61969400184071
"59",2025-03-08,88,"75+ years",9.56256,3.12380462769231,13.4979212307692,10.0563096688142
"60",2025-03-01,87,"75+ years",11.5263,3.76530022087912,16.2698157692308,12.1214446900885
"61",2024-05-25,47,"75+ years",7.9674,3.14896163076923,11.2462915384615,8.2908059320354
"62",2024-05-18,46,"75+ years",7.8048,3.08469710769231,11.0167753846154,8.12160581097345
"63",2024-05-11,45,"75+ years",7.0731,2.79550675384616,9.98395269230769,7.36020526619469
"64",2024-05-04,44,"75+ years",6.504,2.57058092307692,9.18064615384615,6.76800484247787
"65",2023-11-25,21,"75+ years",28.7584,1.39178014945052,40.5935876923077,31.5322367546903
"66",2023-11-18,20,"75+ years",28.9256,1.39987189450547,40.8295969230769,31.7155637125664
"67",2023-11-11,19,"75+ years",28.006,1.35536729670327,39.5315461538462,30.7072654442478
"68",2023-11-04,18,"75+ years",23.3244,1.12879843516482,32.9232876923077,25.5741106237168
"69",2024-11-30,74,"75+ years",11.0994,3.62584465714286,15.66723,11.6725022941593
"70",2024-11-23,73,"75+ years",9.90408,3.23536907868132,13.9799898461538,10.4154635855575
"71",2024-11-16,72,"75+ years",10.33098,3.37482464241758,14.5825756153846,10.8644059814867
"72",2024-11-09,71,"75+ years",10.07484,3.29115130417582,14.2210241538462,10.5950405439292
"73",2024-11-02,70,"75+ years",11.35554,3.70951799538461,16.0287814615385,11.9418677317168
"74",2023-10-28,17,"75+ years",20.3984,6.08768952967033,28.7931261538461,21.5443929430088
"75",2023-10-21,16,"75+ years",21.1365,6.30796776923077,29.8349826923077,22.3239597929203
"76",2023-10-14,15,"75+ years",21.2707,6.34801835824176,30.0244111538461,22.465699220177
"77",2023-10-07,14,"75+ years",22.814,6.80860013186814,32.2028384615385,24.0957026336283
"78",2024-10-26,69,"75+ years",11.6277,1.50061218461538,16.4129457692308,12.59817048
"79",2024-10-19,68,"75+ years",12.4978,1.61290289230768,17.6411253846154,13.54089072
"80",2024-10-12,67,"75+ years",14.3171,1.84769255384614,20.2091373076923,15.51203304
"81",2024-10-05,66,"75+ years",17.1647,2.2151894153846,24.2286342307692,18.59729928
"82",2023-09-30,13,"75+ years",28.4568,8.72216555604394,40.1678676923077,30.0185494768142
"83",2023-09-23,12,"75+ years",29.2236,8.95719396923075,41.2502353846154,30.8274325465487
"84",2023-09-16,11,"75+ years",27.1788,8.33045153406592,38.3639215384615,28.6704110272566
"85",2023-09-09,10,"75+ years",25.3044,7.75593763516482,35.7181338461538,26.6931413012389
"86",2023-09-02,9,"75+ years",24.7932,7.59925202637361,34.9965553846154,26.1538859214159
"87",2024-09-28,65,"75+ years",21.3256,8.2565224087912,30.1019046153846,22.2189350456637
"88",2024-09-21,64,"75+ years",25.2586,9.77924170549449,35.6534853846154,26.316689459823
"89",2024-09-14,63,"75+ years",27.094,10.489844043956,38.2442230769231,28.2289748530973
"90",2024-09-07,62,"75+ years",25.8704,10.0161091516483,36.5170646153846,26.9541179242478
"91",2024-04-27,43,"0-17 years",0.2694,0.128852939030745,1.4648625,1.28321955
"92",2024-04-20,42,"0-17 years",0.1796,0.0859019593538301,0.976575,0.8554797
"93",2024-04-13,41,"0-17 years",0.1796,0.0859019593538301,0.976575,0.8554797
"94",2024-04-06,40,"0-17 years",0.2694,0.128852939030745,1.4648625,1.28321955
"95",2023-08-26,8,"0-17 years",0.8965,0.540562871287129,4.87471875,3.1978155
"96",2023-08-19,7,"0-17 years",0.652,0.393136633663366,3.54525,2.325684
"97",2023-08-12,6,"0-17 years",0.5705,0.343994554455445,3.10209375,2.0349735
"98",2023-08-05,5,"0-17 years",0.489,0.294852475247525,2.6589375,1.744263
"99",2024-08-31,61,"0-17 years",0.5992,0.317835164147994,3.25815,2.5543896
"100",2024-08-24,60,"0-17 years",0.7704,0.40864521104742,4.18905,3.2842152
"101",2024-08-17,59,"0-17 years",0.9416,0.499455257946847,5.11995,4.0140408
"102",2024-08-10,58,"0-17 years",0.9416,0.499455257946847,5.11995,4.0140408
"103",2024-08-03,57,"0-17 years",0.6848,0.363240187597707,3.7236,2.9193024
"104",2023-12-30,26,"0-17 years",1.2306,0.744804778530485,6.6913875,4.36278465
"105",2023-12-23,25,"0-17 years",1.1427,0.691604437206878,6.21343125,4.051157175
"106",2023-12-16,24,"0-17 years",1.1427,0.691604437206878,6.21343125,4.051157175
"107",2023-12-09,23,"0-17 years",1.2306,0.744804778530485,6.6913875,4.36278465
"108",2023-12-02,22,"0-17 years",0.879,0.53200341323606,4.7795625,3.11627475
"109",2024-12-28,78,"0-17 years",0.50394,0.268848313522668,2.74017375,2.13349928175
"110",2024-12-21,77,"0-17 years",0.41995,0.22404026126889,2.283478125,1.777916068125
"111",2024-12-14,76,"0-17 years",0.41995,0.22404026126889,2.283478125,1.777916068125
"112",2024-12-07,75,"0-17 years",0.25197,0.134424156761334,1.370086875,1.066749640875
"113",2024-02-24,34,"0-17 years",0.877,0.453261386138614,4.7686875,3.8530995
"114",2024-02-17,33,"0-17 years",1.1401,0.589239801980198,6.19929375,5.00902935
"115",2024-02-10,32,"0-17 years",0.9647,0.498587524752475,5.24555625,4.23840945
"116",2024-02-03,31,"0-17 years",1.2278,0.634565940594059,6.6761625,5.3943393
"117",2025-02-22,86,"0-17 years",0.41995,0.22404026126889,2.283478125,1.777916068125
"118",2025-02-15,85,"0-17 years",0.50394,0.268848313522668,2.74017375,2.13349928175
"119",2025-02-08,84,"0-17 years",0.41995,0.22404026126889,2.283478125,1.777916068125
"120",2025-02-01,83,"0-17 years",0.67192,0.358464418030224,3.653565,2.844665709
"121",2024-01-27,30,"0-17 years",1.2026,0.737399351224596,6.5391375,4.171969725
"122",2024-01-20,29,"0-17 years",1.0308,0.63205658676394,5.604975,3.57597405
"123",2024-01-13,28,"0-17 years",1.2885,0.790070733454925,7.00621875,4.4699675625
"124",2024-01-06,27,"0-17 years",1.2885,0.790070733454925,7.00621875,4.4699675625
"125",2025-01-25,82,"0-17 years",0.50394,0.268848313522668,2.74017375,2.13349928175
"126",2025-01-18,81,"0-17 years",0.50394,0.268848313522668,2.74017375,2.13349928175
"127",2025-01-11,80,"0-17 years",0.50394,0.268848313522668,2.74017375,2.13349928175
"128",2025-01-04,79,"0-17 years",0.50394,0.268848313522668,2.74017375,2.13349928175
"129",2023-07-29,4,"0-17 years",0.2511,0.132053215216258,1.36535625,1.08136215
"130",2023-07-22,3,"0-17 years",0.1674,0.088035476810839,0.9102375,0.7209081
"131",2023-07-15,2,"0-17 years",0.1674,0.088035476810839,0.9102375,0.7209081
"132",2023-07-08,1,"0-17 years",0.2511,0.132053215216258,1.36535625,1.08136215
"133",2023-07-01,0,"0-17 years",0.1674,0.088035476810839,0.9102375,0.7209081
"134",2024-07-27,56,"0-17 years",0.7542,0.375262644606566,4.1009625,3.453010425
"135",2024-07-20,55,"0-17 years",0.5866,0.291870945805107,3.1896375,2.685674775
"136",2024-07-13,54,"0-17 years",0.5028,0.250175096404377,2.733975,2.30200695
"137",2024-07-06,53,"0-17 years",0.419,0.208479247003648,2.2783125,1.918339125
"138",2024-06-29,52,"0-17 years",0.368,0.201872642001042,2.001,1.504752
"139",2024-06-22,51,"0-17 years",0.2944,0.161498113600834,1.6008,1.2038016
"140",2024-06-15,50,"0-17 years",0.1472,0.0807490568004169,0.8004,0.6019008
"141",2024-06-08,49,"0-17 years",0.1472,0.0807490568004169,0.8004,0.6019008
"142",2024-06-01,48,"0-17 years",0.2944,0.161498113600834,1.6008,1.2038016
"143",2024-03-30,39,"0-17 years",0.3416,0.183518770192809,1.85745,1.4339514
"144",2024-03-23,38,"0-17 years",0.3416,0.183518770192809,1.85745,1.4339514
"145",2024-03-16,37,"0-17 years",0.427,0.229398462741011,2.3218125,1.79243925
"146",2024-03-09,36,"0-17 years",0.5978,0.321157847837415,3.2505375,2.50941495
"147",2024-03-02,35,"0-17 years",0.6832,0.367037540385618,3.7149,2.8679028
"148",2025-03-15,89,"0-17 years",0.25197,0.134424156761334,1.370086875,1.066749640875
"149",2025-03-08,88,"0-17 years",0.33596,0.179232209015112,1.8267825,1.4223328545
"150",2025-03-01,87,"0-17 years",0.25197,0.134424156761334,1.370086875,1.066749640875
"151",2024-05-25,47,"0-17 years",0.2556,0.161361651902032,1.389825,0.84223395
"152",2024-05-18,46,"0-17 years",0.1704,0.107574434601355,0.92655,0.5614893
"153",2024-05-11,45,"0-17 years",0.1704,0.107574434601355,0.92655,0.5614893
"154",2024-05-04,44,"0-17 years",0.2556,0.161361651902032,1.389825,0.84223395
"155",2023-11-25,21,"0-17 years",0.9372,0.635210620114643,5.096025,2.6703171
"156",2023-11-18,20,"0-17 years",0.7668,0.519717780093799,4.169475,2.1848049
"157",2023-11-11,19,"0-17 years",0.6816,0.461971360083377,3.7062,1.9420488
"158",2023-11-04,18,"0-17 years",0.5112,0.346478520062532,2.77965,1.4565366
"159",2024-11-30,74,"0-17 years",0.33596,0.179232209015112,1.8267825,1.4223328545
"160",2024-11-23,73,"0-17 years",0.33596,0.179232209015112,1.8267825,1.4223328545
"161",2024-11-16,72,"0-17 years",0.25197,0.134424156761334,1.370086875,1.066749640875
"162",2024-11-09,71,"0-17 years",0.25197,0.134424156761334,1.370086875,1.066749640875
"163",2024-11-02,70,"0-17 years",0.25197,0.134424156761334,1.370086875,1.066749640875
"164",2023-10-28,17,"0-17 years",0.431,0.276977579468473,2.3435625,1.373327625
"165",2023-10-21,16,"0-17 years",0.6034,0.387768611255862,3.2809875,1.922658675
"166",2023-10-14,15,"0-17 years",0.431,0.276977579468473,2.3435625,1.373327625
"167",2023-10-07,14,"0-17 years",0.6034,0.387768611255862,3.2809875,1.922658675
"168",2024-10-26,69,"0-17 years",0.3188,0.141640896300156,1.733475,1.6225326
"169",2024-10-19,68,"0-17 years",0.3188,0.141640896300156,1.733475,1.6225326
"170",2024-10-12,67,"0-17 years",0.4782,0.212461344450235,2.6002125,2.4337989
"171",2024-10-05,66,"0-17 years",0.3188,0.141640896300156,1.733475,1.6225326
"172",2023-09-30,13,"0-17 years",0.6464,0.33408,3.5148,2.8399584
"173",2023-09-23,12,"0-17 years",0.404,0.2088,2.19675,1.774974
"174",2023-09-16,11,"0-17 years",0.7272,0.37584,3.95415,3.1949532
"175",2023-09-09,10,"0-17 years",0.8888,0.45936,4.83285,3.9049428
"176",2023-09-02,9,"0-17 years",0.6464,0.33408,3.5148,2.8399584
"177",2024-09-28,65,"0-17 years",0.5824,0.312884460656592,3.1668,2.4447696
"178",2024-09-21,64,"0-17 years",0.6656,0.357582240750391,3.6192,2.7940224
"179",2024-09-14,63,"0-17 years",0.7488,0.40228002084419,4.0716,3.1432752
"180",2024-09-07,62,"0-17 years",0.6656,0.357582240750391,3.6192,2.7940224
"181",2024-04-27,43,"18-29 years",0.1868,0.0872110210526316,0.902387692307692,0.388707079365079
"182",2024-04-20,42,"18-29 years",0.1401,0.0654082657894737,0.676790769230769,0.29153030952381
"183",2024-04-13,41,"18-29 years",0.1868,0.0872110210526316,0.902387692307692,0.388707079365079
"184",2024-04-06,40,"18-29 years",0.1868,0.0872110210526316,0.902387692307692,0.388707079365079
"185",2023-08-26,8,"18-29 years",0.7202,0.435424075438596,3.47912,1.19951405820106
"186",2023-08-19,7,"18-29 years",0.554,0.334941596491228,2.67624615384615,0.922703121693122
"187",2023-08-12,6,"18-29 years",0.6094,0.368435756140351,2.94387076923077,1.01497343386243
"188",2023-08-05,5,"18-29 years",0.4432,0.267953277192982,2.14099692307692,0.738162497354497
"189",2024-08-31,61,"18-29 years",0.8386,0.370727405263158,4.05108307692308,1.80771544444444
"190",2024-08-24,60,"18-29 years",0.8985,0.397207934210526,4.34044615384615,1.93683797619048
"191",2024-08-17,59,"18-29 years",0.8386,0.370727405263158,4.05108307692308,1.80771544444444
"192",2024-08-10,58,"18-29 years",1.0183,0.450168992105263,4.91917230769231,2.19508303968254
"193",2024-08-03,57,"18-29 years",0.8985,0.397207934210526,4.34044615384615,1.93683797619048
"194",2023-12-30,26,"18-29 years",1.5752,0.713717592982456,7.60942769230769,3.34321614814815
"195",2023-12-23,25,"18-29 years",1.2888,0.583950757894737,6.22589538461538,2.73535866666667
"196",2023-12-16,24,"18-29 years",1.2888,0.583950757894737,6.22589538461538,2.73535866666667
"197",2023-12-09,23,"18-29 years",1.2888,0.583950757894737,6.22589538461538,2.73535866666667
"198",2023-12-02,22,"18-29 years",1.2172,0.551509049122807,5.88001230769231,2.5833942962963
"199",2024-12-28,78,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"200",2024-12-21,77,"18-29 years",0.40859,0.179953788368421,1.973804,0.882807336666667
"201",2024-12-14,76,"18-29 years",0.35022,0.15424610431579,1.691832,0.756692002857143
"202",2024-12-07,75,"18-29 years",0.35022,0.15424610431579,1.691832,0.756692002857143
"203",2024-02-24,34,"18-29 years",0.56,0.339340350877193,2.70523076923077,0.93037037037037
"204",2024-02-17,33,"18-29 years",0.48,0.290863157894737,2.31876923076923,0.797460317460317
"205",2024-02-10,32,"18-29 years",0.64,0.387817543859649,3.09169230769231,1.06328042328042
"206",2024-02-03,31,"18-29 years",0.68,0.412056140350877,3.28492307692308,1.12973544973545
"207",2025-02-22,86,"18-29 years",0.46696,0.205661472421053,2.255776,1.00892267047619
"208",2025-02-15,85,"18-29 years",0.40859,0.179953788368421,1.973804,0.882807336666667
"209",2025-02-08,84,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"210",2025-02-01,83,"18-29 years",0.5837,0.257076840526316,2.81972,1.26115333809524
"211",2024-01-27,30,"18-29 years",1.1577,0.578758602631579,5.59258153846154,2.29362421428571
"212",2024-01-20,29,"18-29 years",1.362,0.68089247368421,6.57950769230769,2.69838142857143
"213",2024-01-13,28,"18-29 years",1.6344,0.817070968421053,7.89540923076923,3.23805771428571
"214",2024-01-06,27,"18-29 years",1.4982,0.748981721052631,7.23745846153846,2.96821957142857
"215",2025-01-25,82,"18-29 years",0.46696,0.205661472421053,2.255776,1.00892267047619
"216",2025-01-18,81,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"217",2025-01-11,80,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"218",2025-01-04,79,"18-29 years",0.5837,0.257076840526316,2.81972,1.26115333809524
"219",2023-07-29,4,"18-29 years",0.3996,0.163446915789474,1.93037538461538,0.901224857142857
"220",2023-07-22,3,"18-29 years",0.3996,0.163446915789474,1.93037538461538,0.901224857142857
"221",2023-07-15,2,"18-29 years",0.333,0.136205763157895,1.60864615384615,0.751020714285714
"222",2023-07-08,1,"18-29 years",0.2664,0.108964610526316,1.28691692307692,0.600816571428571
"223",2023-07-01,0,"18-29 years",0.2664,0.108964610526316,1.28691692307692,0.600816571428571
"224",2024-07-27,56,"18-29 years",0.8442,0.332511126315789,4.07813538461538,1.94250866666667
"225",2024-07-20,55,"18-29 years",0.7236,0.285009536842105,3.49554461538462,1.66500742857143
"226",2024-07-13,54,"18-29 years",0.603,0.237507947368421,2.91295384615385,1.38750619047619
"227",2024-07-06,53,"18-29 years",0.603,0.237507947368421,2.91295384615385,1.38750619047619
"228",2024-06-29,52,"18-29 years",0.4776,0.164436842105263,2.30717538461538,1.1703726984127
"229",2024-06-22,51,"18-29 years",0.2985,0.102773026315789,1.44198461538462,0.731482936507936
"230",2024-06-15,50,"18-29 years",0.3582,0.123327631578947,1.73038153846154,0.877779523809524
"231",2024-06-08,49,"18-29 years",0.2985,0.102773026315789,1.44198461538462,0.731482936507936
"232",2024-06-01,48,"18-29 years",0.2985,0.102773026315789,1.44198461538462,0.731482936507936
"233",2024-03-30,39,"18-29 years",0.2595,0.127227842105263,1.25358461538462,0.521663650793651
"234",2024-03-23,38,"18-29 years",0.3114,0.152673410526316,1.50430153846154,0.625996380952381
"235",2024-03-16,37,"18-29 years",0.3633,0.178118978947368,1.75501846153846,0.730329111111111
"236",2024-03-09,36,"18-29 years",0.3633,0.178118978947368,1.75501846153846,0.730329111111111
"237",2024-03-02,35,"18-29 years",0.6228,0.305346821052632,3.00860307692308,1.25199276190476
"238",2025-03-15,89,"18-29 years",0.17511,0.0771230521578948,0.845916,0.378346001428571
"239",2025-03-08,88,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"240",2025-03-01,87,"18-29 years",0.35022,0.15424610431579,1.691832,0.756692002857143
"241",2024-05-25,47,"18-29 years",0.2728,0.13036729122807,1.31783384615385,0.558597693121693
"242",2024-05-18,46,"18-29 years",0.2046,0.0977754684210526,0.988375384615384,0.41894826984127
"243",2024-05-11,45,"18-29 years",0.2046,0.0977754684210526,0.988375384615384,0.41894826984127
"244",2024-05-04,44,"18-29 years",0.2046,0.0977754684210526,0.988375384615384,0.41894826984127
"245",2023-11-25,21,"18-29 years",0.9128,0.37713052631579,4.40952615384615,2.04728
"246",2023-11-18,20,"18-29 years",0.7824,0.323254736842105,3.77959384615385,1.75481142857143
"247",2023-11-11,19,"18-29 years",0.8476,0.350192631578947,4.09456,1.90104571428571
"248",2023-11-04,18,"18-29 years",0.9128,0.37713052631579,4.40952615384615,2.04728
"249",2024-11-30,74,"18-29 years",0.23348,0.102830736210526,1.127888,0.504461335238095
"250",2024-11-23,73,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"251",2024-11-16,72,"18-29 years",0.23348,0.102830736210526,1.127888,0.504461335238095
"252",2024-11-09,71,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"253",2024-11-02,70,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"254",2023-10-28,17,"18-29 years",0.8172,0.362392357894737,3.94770461538461,1.75819066666667
"255",2023-10-21,16,"18-29 years",0.681,0.301993631578947,3.28975384615385,1.46515888888889
"256",2023-10-14,15,"18-29 years",0.8172,0.362392357894737,3.94770461538461,1.75819066666667
"257",2023-10-07,14,"18-29 years",0.8172,0.362392357894737,3.94770461538461,1.75819066666667
"258",2024-10-26,69,"18-29 years",0.3005,0.0898046885964912,1.45164615384615,0.777571574074074
"259",2024-10-19,68,"18-29 years",0.2404,0.071843750877193,1.16131692307692,0.622057259259259
"260",2024-10-12,67,"18-29 years",0.4207,0.125726564035088,2.03230461538462,1.0886002037037
"261",2024-10-05,66,"18-29 years",0.4207,0.125726564035088,2.03230461538462,1.0886002037037
"262",2023-09-30,13,"18-29 years",0.7308,0.37238747368421,3.53032615384615,1.42660666666667
"263",2023-09-23,12,"18-29 years",0.6699,0.341355184210526,3.23613230769231,1.30772277777778
"264",2023-09-16,11,"18-29 years",0.7917,0.403419763157895,3.82452,1.54549055555556
"265",2023-09-09,10,"18-29 years",0.9135,0.465484342105263,4.41290769230769,1.78325833333333
"266",2023-09-02,9,"18-29 years",0.7917,0.403419763157895,3.82452,1.54549055555556
"267",2024-09-28,65,"18-29 years",0.6192,0.237919452631579,2.99121230769231,1.44278514285714
"268",2024-09-21,64,"18-29 years",0.688,0.264354947368421,3.32356923076923,1.6030946031746
"269",2024-09-14,63,"18-29 years",0.8256,0.317225936842105,3.98828307692308,1.92371352380952
"270",2024-09-07,62,"18-29 years",0.8256,0.317225936842105,3.98828307692308,1.92371352380952
"271",2024-04-27,43,"30-49 years",0.1868,0.0872177347346296,0.532901006802721,0.429581440980736
"272",2024-04-20,42,"30-49 years",0.1401,0.0654133010509722,0.399675755102041,0.322186080735552
"273",2024-04-13,41,"30-49 years",0.1868,0.0872177347346296,0.532901006802721,0.429581440980736
"274",2024-04-06,40,"30-49 years",0.1868,0.0872177347346296,0.532901006802721,0.429581440980736
"275",2023-08-26,8,"30-49 years",0.7202,0.435457595270625,2.05457872108844,1.32564855376532
"276",2023-08-19,7,"30-49 years",0.554,0.334967380977404,1.58044517006803,1.01972965674256
"277",2023-08-12,6,"30-49 years",0.6094,0.368464119075144,1.73848968707483,1.12170262241681
